Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Tot Cool Cap [W]
00:10:00,7.799581E+00,1.208147E+05,8.105186E+00,9.598370E+04,2.308556E+05,7.799581E+00,1.552996E+05,7.940010E+00,5.892186E+04,1.956412E+05,7.799581E+00,1.357059E+05,8.004155E+00,7.950548E+04,2.707031E+05,7.799581E+00,1.372734E+05,7.998645E+00,7.784326E+04,2.643544E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
00:20:00,7.799581E+00,1.216376E+05,8.091954E+00,9.497323E+04,2.296014E+05,7.799581E+00,1.561225E+05,7.934494E+00,5.804376E+04,1.926087E+05,7.799581E+00,1.365288E+05,7.998653E+00,7.860690E+04,2.672753E+05,7.799581E+00,1.380963E+05,7.993153E+00,7.694645E+04,2.609607E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
00:30:00,7.799581E+00,1.224606E+05,8.079014E+00,9.396894E+04,2.283582E+05,7.799581E+00,1.569455E+05,7.929088E+00,5.716762E+04,1.895953E+05,7.799581E+00,1.373518E+05,7.993260E+00,7.771053E+04,2.638699E+05,7.799581E+00,1.389193E+05,7.987769E+00,7.605183E+04,2.575891E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
00:40:00,7.799581E+00,1.232835E+05,8.066359E+00,9.297066E+04,2.271258E+05,7.799581E+00,1.577684E+05,7.923791E+00,5.629339E+04,1.866009E+05,7.799581E+00,1.381747E+05,7.987974E+00,7.681632E+04,2.604866E+05,7.799581E+00,1.397422E+05,7.982490E+00,7.515933E+04,2.542392E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
00:50:00,7.799581E+00,1.241064E+05,8.053984E+00,9.197825E+04,2.259041E+05,7.799581E+00,1.585913E+05,7.918600E+00,5.542101E+04,1.836251E+05,7.799581E+00,1.389976E+05,7.982792E+00,7.592423E+04,2.571251E+05,7.799581E+00,1.405651E+05,7.977315E+00,7.426892E+04,2.509109E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
01:00:00,7.799581E+00,1.249294E+05,8.041885E+00,9.099158E+04,2.246928E+05,7.799581E+00,1.594143E+05,7.913514E+00,5.455046E+04,1.806677E+05,7.799581E+00,1.398206E+05,7.977713E+00,7.503419E+04,2.537852E+05,7.799581E+00,1.413881E+05,7.972242E+00,7.338054E+04,2.476039E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
01:10:00,7.799581E+00,1.254780E+05,8.030203E+00,9.029456E+04,2.237859E+05,7.799581E+00,1.599629E+05,7.908589E+00,5.396022E+04,1.786702E+05,7.799581E+00,1.403692E+05,7.972793E+00,7.442711E+04,2.515202E+05,7.799581E+00,1.419367E+05,7.967329E+00,7.277489E+04,2.453619E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
01:20:00,7.799581E+00,1.260266E+05,8.018934E+00,8.960379E+04,2.228923E+05,7.799581E+00,1.605115E+05,7.903823E+00,5.337175E+04,1.766840E+05,7.799581E+00,1.409178E+05,7.968030E+00,7.382218E+04,2.492690E+05,7.799581E+00,1.424853E+05,7.962572E+00,7.217135E+04,2.431335E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
01:30:00,7.799581E+00,1.265752E+05,8.010161E+00,8.894233E+04,2.220693E+05,7.799581E+00,1.610601E+05,7.899214E+00,5.278499E+04,1.747089E+05,7.799581E+00,1.414664E+05,7.963422E+00,7.321934E+04,2.470312E+05,7.799581E+00,1.430339E+05,7.957970E+00,7.156987E+04,2.409183E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
01:40:00,7.799581E+00,1.271239E+05,8.005751E+00,8.833023E+04,2.213684E+05,7.799581E+00,1.616088E+05,7.894760E+00,5.219992E+04,1.727448E+05,7.799581E+00,1.420151E+05,7.958969E+00,7.261856E+04,2.448068E+05,7.799581E+00,1.435826E+05,7.953522E+00,7.097043E+04,2.387163E+05,8.141465E+00,4.908612E+05,7.799581E+00,0.000000E+00,0.000000E+00,7.799581E+00,3.409302E+05,7.799581E+00,0.000000E+00,0.000000E+00,8.109332E+00,4.824049E+05,7.799581E+00,0.000000E+00,0.000000E+00
