Time,THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.926349E+03,3.160138E+03,2.542522E-01,3.096428E-01,8.158745E+03,6.828032E+03,4.210683E-01,6.690533E-01,5.140050E+03,3.165264E+03,2.652792E-01,3.101457E-01,3.979741E+02,3.901550E+02,2.054111E-02,3.822647E-02,9.809205E+03,5.838793E+03,5.061325E-01,5.722131E-01,1.081855E+04,4.988625E+03,5.582000E-01,4.889004E-01,1.562176E+04,6.826663E+03,8.060386E-01,6.690270E-01,8.846735E+03,6.718912E+03,4.565057E-01,6.584310E-01
00:20:00,4.926348E+03,3.121545E+03,2.542522E-01,3.058608E-01,8.158745E+03,6.776208E+03,4.210683E-01,6.639740E-01,5.140050E+03,3.138123E+03,2.652792E-01,3.074862E-01,3.979741E+02,3.876214E+02,2.054111E-02,3.797823E-02,9.809205E+03,5.789476E+03,5.061325E-01,5.673800E-01,1.081855E+04,4.939936E+03,5.582000E-01,4.841288E-01,1.562176E+04,6.757583E+03,8.060386E-01,6.622571E-01,8.846735E+03,6.673120E+03,4.565057E-01,6.539437E-01
00:30:00,4.926348E+03,3.083938E+03,2.542522E-01,3.021755E-01,8.158745E+03,6.725887E+03,4.210683E-01,6.590423E-01,5.140050E+03,3.111745E+03,2.652792E-01,3.049014E-01,3.979741E+02,3.851577E+02,2.054111E-02,3.773684E-02,9.809205E+03,5.741375E+03,5.061325E-01,5.626660E-01,1.081855E+04,4.892345E+03,5.582000E-01,4.794647E-01,1.562176E+04,6.690133E+03,8.060386E-01,6.556468E-01,8.846735E+03,6.628211E+03,4.565057E-01,6.495428E-01
00:40:00,4.926348E+03,3.047229E+03,2.542522E-01,2.985782E-01,8.158745E+03,6.676959E+03,4.210683E-01,6.542474E-01,5.140050E+03,3.086026E+03,2.652792E-01,3.023812E-01,3.979740E+02,3.827557E+02,2.054110E-02,3.750150E-02,9.809205E+03,5.694446E+03,5.061325E-01,5.580670E-01,1.081855E+04,4.845835E+03,5.582000E-01,4.749065E-01,1.562176E+04,6.624282E+03,8.060386E-01,6.491933E-01,8.846735E+03,6.584172E+03,4.565057E-01,6.452272E-01
00:50:00,4.926348E+03,3.011380E+03,2.542522E-01,2.950653E-01,8.158745E+03,6.629212E+03,4.210683E-01,6.495684E-01,5.140050E+03,3.060882E+03,2.652792E-01,2.999174E-01,3.979740E+02,3.804090E+02,2.054110E-02,3.727157E-02,9.809204E+03,5.648652E+03,5.061325E-01,5.535791E-01,1.081855E+04,4.800389E+03,5.582000E-01,4.704527E-01,1.562176E+04,6.560001E+03,8.060386E-01,6.428937E-01,8.846735E+03,6.540995E+03,4.565057E-01,6.409961E-01
01:00:00,4.926348E+03,2.976358E+03,2.542522E-01,2.916335E-01,8.158745E+03,6.582494E+03,4.210683E-01,6.449904E-01,5.140050E+03,3.036237E+03,2.652792E-01,2.975025E-01,3.979740E+02,3.781125E+02,2.054110E-02,3.704657E-02,9.809204E+03,5.603961E+03,5.061325E-01,5.491993E-01,1.081855E+04,4.755993E+03,5.582000E-01,4.661017E-01,1.562176E+04,6.497266E+03,8.060386E-01,6.367455E-01,8.846735E+03,6.498674E+03,4.565057E-01,6.368488E-01
01:10:00,4.926348E+03,2.942295E+03,2.542522E-01,2.882957E-01,8.158745E+03,6.536978E+03,4.210683E-01,6.405302E-01,5.140050E+03,3.012187E+03,2.652792E-01,2.951459E-01,3.979740E+02,3.758669E+02,2.054110E-02,3.682655E-02,9.809204E+03,5.560871E+03,5.061325E-01,5.449764E-01,1.081855E+04,4.713186E+03,5.582000E-01,4.619066E-01,1.562176E+04,6.436826E+03,8.060386E-01,6.308222E-01,8.846735E+03,6.457699E+03,4.565057E-01,6.328335E-01
01:20:00,4.926348E+03,2.909147E+03,2.542522E-01,2.850476E-01,8.158745E+03,6.492547E+03,4.210683E-01,6.361763E-01,5.140050E+03,2.988619E+03,2.652792E-01,2.928366E-01,3.979740E+02,3.736679E+02,2.054110E-02,3.661110E-02,9.809204E+03,5.519343E+03,5.061325E-01,5.409066E-01,1.081855E+04,4.671963E+03,5.582000E-01,4.578665E-01,1.562176E+04,6.378680E+03,8.060386E-01,6.251238E-01,8.846735E+03,6.418052E+03,4.565057E-01,6.289482E-01
01:30:00,4.926348E+03,2.876878E+03,2.542522E-01,2.818856E-01,8.158745E+03,6.449042E+03,4.210683E-01,6.319133E-01,5.140050E+03,2.965567E+03,2.652792E-01,2.905778E-01,3.979740E+02,3.715119E+02,2.054110E-02,3.639985E-02,9.809204E+03,5.479341E+03,5.061325E-01,5.369863E-01,1.081855E+04,4.632301E+03,5.582000E-01,4.539795E-01,1.562176E+04,6.322800E+03,8.060386E-01,6.196475E-01,8.846735E+03,6.379714E+03,4.565057E-01,6.251913E-01
01:40:00,4.926348E+03,2.845468E+03,2.542522E-01,2.788078E-01,8.158745E+03,6.406452E+03,4.210683E-01,6.277400E-01,5.140050E+03,2.943073E+03,2.652792E-01,2.883737E-01,3.979740E+02,3.693965E+02,2.054110E-02,3.619259E-02,9.809204E+03,5.440853E+03,5.061325E-01,5.332145E-01,1.081855E+04,4.594200E+03,5.582000E-01,4.502456E-01,1.562176E+04,6.269187E+03,8.060386E-01,6.143934E-01,8.846735E+03,6.342694E+03,4.565057E-01,6.215634E-01
